x,y,z
539.81198,-341.22361,8
582.77919,255.2995,8
580.67212,402.74805,108
311.33287,321.4518,8
395.74389,-294.48662,8
404.59939,-134.93103,8
408.66509,406.50271,8
354.74001,-228.30832,8
475.79846,-344.84165,8
103.89342,193.44174,8
335.00519,-365.83857,8
417.71015,-30.37421,8
146.72878,-173.02212,8
410.08622,-197.84727,8
326.72475,-31.06664,108
77.70407,-130.77726,8
502.99196,-189.30171,8
504.13585,-250.85597,8
215.33022,-160.77195,8
234.62514,-188.68739,8
109.01525,532.7155,471.66666
301.77206,207.06468,8
128.74458,-197.90589,8
24.37761,63.0125,8
18.64302,132.12673,8
571.50879,-0.77501,8
126.42856,180.49922,8
243.01275,-173.17382,8
257.52563,-184.90453,8
78.98005,-149.97287,8
285.29964,390.23355,8
338.41196,344.60111,8
36.44489,-63.46026,8
160.75641,97.37854,8
139.78397,27.62508,8
205.31177,179.20799,8
536.84001,-481.31,8
342.82208,411.02625,8
36.44489,63.46026,8
574.28579,-166.84183,108
329.13829,255.85401,108
485.35287,-212.59801,8
421.51858,415.7232,8
356.19914,27.1506,8
428.32434,120.30319,8
188.34628,441.66071,8
215.33022,160.77195,8
167.00277,371.86069,8
192.68415,253.48162,8
154.22907,-487.04689,8
437.7866,60.49475,8
379.43613,-435.07739,8
248.80247,-443.02069,8
155.06509,-206.63585,8
160.52732,162.28089,8
343.5241,-274.72612,8
566.77933,-3.31719,8
126.67189,197.5284,8
357.89091,-202.90839,8
0.93616,-228.95434,108
395.74389,294.48662,8
5.14622,-111.82219,8
227.34647,476.83661,296.41901
582.79431,261.05051,8
230.6806,-201.51965,8
0,186.44867,8
14.38495,-267.53589,8
504.13585,250.85597,8
67.81632,-63.98111,8
240.05399,27.51577,8
321.13772,-382.34994,8
90.61242,-377.48591,8
105.28642,-389.24348,8
412.08515,309.42316,8
121.50408,271.13474,8
457.34937,431.84479,8
63.25899,481.6067,296.41901
78.56884,-341.17895,8
177.68103,-227.38772,8
500.06583,-325.71099,8
22.99054,63.21303,8
256.74396,402.46909,8
131.27786,503.34767,296.41901
160.3487,-360.02288,8
49.11045,-184.95085,8
129.31389,134.80246,8
154.22907,487.04689,8
574.01505,-252.91934,8
326.25984,136.5835,8
491.18217,-229.34075,8
129.31389,-134.80246,8
317.22451,198.03207,8
453.50832,242.50444,8
42.32618,-510.02135,296.41901
479.30701,-55.79013,8
458.7581,-479.8102,296.41901
80.89798,380.47702,8
60.18181,280.40802,8
566.77933,3.31719,8
385.82971,-173.32947,8
246.86349,-288.1062,8
8.89224,167.17749,8
6.42389,296.90841,108
20.10684,375.54671,8
404.26401,139.11583,8
192.68415,-253.48162,8
20.91152,24.32137,8
113.38739,-463.70976,8
331.07676,-375.53296,108
51.84261,69.84716,8
515.85113,125.46921,8
375.42688,407.53858,8
81.3485,96.61732,8
580.67212,-402.74805,108
547.4822,-136.55871,8
579.64165,180.88466,8
51.84261,-69.84716,8
564.27003,-328.37654,8
457.74992,81.50176,8
488.81615,40.62457,8
500.06583,325.71099,8
327.25497,96.1826,108
338.41196,-344.60111,8
519.2355,-503.41714,296.41901
453.05479,364.94497,8
4.22138,539.33347,471.66666
89.04627,206.95922,8
411.36912,-44.44311,8
8.89224,-167.17749,8
186.51805,355.75134,8
524.38721,513.06978,296.41901
30.45025,146.19038,8
123.69835,-384.15777,8
513.8563,-526.69755,296.41901
582.79431,-261.05051,8
549.57188,-22.30606,8
78.56884,341.17895,8
425.02133,394.29719,8
105.28642,389.24348,8
274.86567,133.10979,8
109.59383,319.64578,8
476.93885,-535.75974,471.66666
161.21842,-382.8261,8
183.98545,381.71136,8
20.91152,-24.32137,8
412.08515,-309.42316,8
323.1285,-250.72473,8
230.59599,410.03607,8
408.50843,51.84896,8
122.01453,342.98227,8
202.06619,524.00463,296.41901
437.90258,428.80337,8
294.70002,177.13621,8
368.99683,334.4606,8
375.42688,-407.53858,8
199.51099,224.92223,8
500.53686,148.29783,8
98.81976,-224.50989,8
178.44571,-14.10141,8
531.77066,246.93807,8
528.31272,-209.38593,8
389.29824,26.57901,8
178.7007,-230.75824,8
17.03333,-116.06026,8
218.83741,-499.69179,296.41901
514.08598,333.62741,8
57.31866,-478.55559,296.41901
87.5257,-466.80435,8
165.54839,280.31519,8
293.62421,-442.06664,8
76.98139,-277.31585,8
12.97306,384.51265,8
343.67271,-250.98815,8
582.56563,-332.38517,8
114.29016,-335.17088,8
543.39735,-51.18027,8
404.95761,530.26053,296.41901
287.8618,388.62103,8
394.20602,-254.55435,8
566.39903,34.80387,8
331.07676,375.53296,108
313.5485,472.74585,296.41901
246.86349,288.1062,8
